,GenSR,YerUR,translit,23-sfcost-prod,Sublex_Score
601,zh-z-m-a,zh-z-o_flt-m,zh-z-o-m,0.0004166666666666666,0.0080528241173702
602,zh-z-m-a,zh-z-o_flt-m,zh-z-o-m,0.0004166666666666666,0.0080528241173702
603,r-a-zh-z-m-a,r-a-zh-e_flt-z-m,r-a-zh-e-z-m,0.00011595547309833031,5.7940951381e-06
604,zh-z-m-a,zh-o_flt-z-m,zh-o-z-m,0.0001057529610829103,5.6092376658e-06
605,b-a-zh-z-m-a,b-a-zh-z-o_flt-m,b-a-zh-z-o-m,0.0004940711462450594,0.0080528241173702
606,zh-z-m-a,zh-o_flt-z-m,zh-o-z-m,0.0001057529610829103,5.6092376658e-06
607,zh-z-m-a,zh-e_flt-z-m,zh-e-z-m,0.0001057529610829103,5.7940951381e-06
608,x-u-zh-z-n-a,x-u-zh-z-o_flt-n,x-u-zh-z-o-n,0.0004166666666666666,0.0508260674330997
609,g-a-zh-z-n-a,g-a-zh-z-o_flt-n,g-a-zh-z-o-n,0.0004728132387706857,0.0508260674330997
610,pj-i-zh-z-n-a,pj-i-zh-o_flt-z-n,pj-i-zh-o-z-n,8.364001338240211e-05,5.71319381566e-05
611,zh-z-n-a,zh-z-o_flt-n,zh-z-o-n,0.00040016006402561027,0.0508260674330997
612,t-u-zh-z-n-a,t-u-zh-z-o_flt-n,t-u-zh-z-o-n,0.0004166666666666666,0.0508260674330997
613,zh-z-n-a,zh-z-e_flt-n,zh-zj-e-n,0.00038446751249519417,0.0400789416205997
